Mon Aug 15 16:19:28 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
17 40 100 980 1.13 10000 84 0 0 0 0 0 
18 40 100 1497 0.99 10000 18 0 0 0 0 0 
19 40 100 899 1.11 10000 9397 0 0 0 0 0 
20 40 100 903 1.15 10000 1775 0 0 0 0 0 
21 60 100 1869 1.62 10000 9360 0 0 11.28 0 0 
22 60 100 1551 1.67 10000 42 0 0 0 0 0 
23 60 100 1667 1.63 10000 54 0 0 0 0 0 
24 60 100 1844 1.67 10000 72 0 0 0 0 0 
25 60 100 1421 1.78 10000 9401 0 0 0 0 0 
26 60 100 1489 1.68 10000 5460 0 0 0 0 0 
27 60 100 1324 1.68 10000 181 0 0 0 0 0 
28 60 100 1692 1.71 10000 122 0 0 0 0 0 
29 60 100 1536 1.69 10000 7224 0 0 0 0 0 
30 60 100 2132 1.56 10000 43 0 0 0 0 0 
31 80 100 2125 2.38 10000 49 0 0 3.27 0 0 
32 80 100 2218 2.21 10000 480 0 0 2.74 0 0 
33 80 100 2328 2.36 10000 18 0 0 0 0 0 
34 80 100 2280 2.31 10000 23 0 0 0 0 0 
35 80 100 2061 2.43 10000 9507 0 0 3.74 0 0 
36 80 100 2332 2.4 10000 43 0 0 0 0 0 
37 80 100 2509 2.27 10000 51 0 0 0 0 0 
38 80 100 2474 2.29 10000 519 0 0 0 0 0 
39 80 100 2491 2.31 10000 5170 0 0 0 0 0 
40 80 100 2112 2.46 10000 148 0 0 0 0 0 
41 100 100 2340 3.27 10000 3918 0 0 5.06 0 0 
42 100 100 2749 3.03 10000 580 0 0 0 0 0 
43 100 100 2278 3.26 10000 8382 0 0 2.53 0 0 
44 100 100 2491 3.21 10000 7891 0 0 0 0 0 
45 100 100 2678 3.11 10000 3645 0 0 0 0 0 
46 100 100 3134 3.04 10000 90 0 0 0 0 0 
47 100 100 2431 3.09 10000 360 0 0 0 0 0 
48 100 100 2727 3.15 10000 1460 0 0 0 0 0 
49 100 100 2577 3.15 10000 6222 0 0 0 0 0 
50 100 100 3150 3.11 10000 315 0 0 0 0 0 

Fri Oct 21 17:31:13 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 648 1.44 10000 1 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
2 20 100 378 1.17 10000 43 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
3 20 100 636 1.43 10000 13 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
4 20 100 441 1.31 10000 11 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
5 20 100 484 1.31 10000 7 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
6 20 100 695 1.32 10000 2 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
7 20 100 475 1.23 10000 3 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
8 20 100 461 1.27 10000 17 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
9 20 100 613 1.36 10000 1 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
10 20 100 657 1.27 10000 5 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
11 40 100 764 3.23 10000 5045 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
12 40 100 979 3.48 10000 5018 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
13 40 100 1317 3.68 10000 5 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
14 40 100 1119 3.45 10000 3133 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
15 40 100 1286 3.63 10000 57 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
16 40 100 1106 3.77 10000 4 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
17 40 100 980 3.45 10000 24 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
18 40 100 1497 4.15 10000 13 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
19 40 100 923 3.34 10000 67 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
20 40 100 906 3.4 10000 5216 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
21 60 100 1879 6.85 10000 5080 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
22 60 100 1551 6.71 10000 5029 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
23 60 100 1667 6.97 10000 111 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
24 60 100 1844 7.44 10000 4 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
